,PLAYER,POS,FPTS,VOR,VALUERANK
84,Reggie Bonnafon,RB,37.7,-101.8,284.0
67,Foster Moreau,TE,24.200000000000003,-102.10000000000001,285.0
68,Kaden Smith,TE,24.15,-102.15,286.0
69,Jake Butt,TE,24.05,-102.25000000000001,287.0
70,Nick Vannett,TE,23.799999999999997,-102.50000000000001,288.0
71,Harrison Bryant,TE,23.200000000000003,-103.10000000000001,289.0
73,Levine Toilolo,TE,23.15,-103.15,290.0
76,Josiah Deguara,TE,22.950000000000003,-103.35000000000001,291.0
103,Isaiah Ford,WR,46.5,-103.6,292.0
78,Drew Sample,TE,22.6,-103.70000000000002,293.0
77,Virgil Green,TE,22.5,-103.80000000000001,294.0
74,Demetrius Harris,TE,22.3,-104.00000000000001,295.0
101,Andy Isabella,WR,46.050000000000004,-104.04999999999998,296.0
102,Ricardo Louis,WR,46.05,-104.05,297.0
104,Scott Miller,WR,45.35,-104.75,298.0
75,Ricky Seals-Jones,TE,21.3,-105.00000000000001,299.0
106,Van Jefferson,WR,44.85,-105.25,300.0
108,Trey Quinn,WR,44.8,-105.3,301.0
80,Adam Trautman,TE,20.8,-105.50000000000001,302.0
86,Justice Hill,RB,33.95,-105.55,303.0
79,Jerell Adams,TE,20.4,-105.9,304.0
107,Equanimeous St. Brown,WR,43.599999999999994,-106.5,305.0
81,Blake Bell,TE,19.7,-106.60000000000001,306.0
105,Keelan Cole,WR,43.35,-106.75,307.0
87,Sewo Olonilua,RB,32.7,-106.8,308.0
109,Bryan Edwards,WR,43.2,-106.89999999999999,309.0
90,J.D. McKissic,RB,31.35,-108.15,310.0
82,Kahale Warring,TE,18.05,-108.25000000000001,311.0
83,Ryan Izzo,TE,17.5,-108.80000000000001,312.0
84,Chris Manhertz,TE,17.35,-108.95000000000002,313.0
110,Jakobi Meyers,WR,41.0,-109.1,314.0
86,Khari Lee,TE,17.1,-109.20000000000002,315.0
85,Deon Yelder,TE,16.75,-109.55000000000001,316.0
91,Dare Ogunbowale,RB,29.700000000000003,-109.8,317.0
87,Jordan Thomas,TE,16.45,-109.85000000000001,318.0
114,Greg Ward,WR,40.1,-110.0,319.5
88,Ryan Nall,RB,29.5,-110.0,319.5
111,Joe Reed,WR,39.95,-110.14999999999999,321.0
88,Brycen Hopkins,TE,15.95,-110.35000000000001,322.0
92,Patrick Laird,RB,28.6,-110.9,323.0
93,Malcolm Perry,RB,28.5,-111.0,324.0
92,Troy Fumagalli,TE,15.200000000000001,-111.10000000000001,325.0
89,Derek Carrier,TE,15.1,-111.20000000000002,326.0
29,Tua Tagovailoa,QB,149.1,-111.29999999999998,327.0
113,Jalen Hurd,WR,38.8,-111.3,328.0
90,Pharaoh Brown,TE,15.0,-111.30000000000001,329.0
112,Demarcus Robinson,WR,38.7,-111.39999999999999,330.0
91,Codey McElroy,TE,14.6,-111.70000000000002,331.0
95,Eric Tomlinson,TE,14.5,-111.80000000000001,332.0
98,Joshua Perkins,TE,14.399999999999999,-111.9,333.5
93,Albert Okwuegbunam,TE,14.399999999999999,-111.9,333.5
89,Corey Clement,RB,27.55,-111.95,335.0
94,Donald Parham,TE,14.2,-112.10000000000001,336.0
99,J.P. Holtz,TE,13.85,-112.45000000000002,337.0
96,Tanner Hudson,TE,13.799999999999999,-112.50000000000001,338.0
97,Charlie Woerner,TE,13.75,-112.55000000000001,339.0
96,Myles Gaskin,RB,26.55,-112.95,340.0
115,Tajae Sharpe,WR,37.0,-113.1,341.5
94,DeeJay Dallas,RB,26.4,-113.1,341.5
100,Luke Stocker,TE,12.899999999999999,-113.4,343.5
101,Durham Smythe,TE,12.9,-113.4,343.5
116,Tyler Johnson,WR,36.65,-113.44999999999999,345.0
120,Chester Rogers,WR,35.8,-114.3,346.0
30,Tyrod Taylor,QB,146.0,-114.39999999999998,347.0
102,Tommy Sweeney,TE,11.45,-114.85000000000001,348.0
95,Mike Boone,RB,24.599999999999998,-114.9,349.0
103,Tyler Conklin,TE,11.35,-114.95000000000002,350.0
121,Trent Taylor,WR,35.0,-115.1,351.0
31,Nick Foles,QB,145.0,-115.39999999999998,352.0
105,Richard Rodgers,TE,10.75,-115.55000000000001,353.0
103,CJ Ham,RB,23.45,-116.05,354.0
104,Luke Willson,TE,10.15,-116.15,355.0
97,Jeff Wilson,RB,23.3,-116.2,356.0
106,Trevon Wesco,TE,10.0,-116.30000000000001,357.0
