,PLAYER,POS,FPTS,VOR,VALUERANK
131,Jake Funk,RB,10.4,-98.6,407.0
83,Peyton Hendershot,TE,17.25,-98.75,408.0
162,KhaDarel Hodge,WR,18.95,-99.1,409.0
132,JaMycal Hasty,RB,9.7,-99.3,410.0
86,Ross Dwelley,TE,16.6,-99.4,411.0
164,Tyquan Thornton,WR,18.5,-99.55,413.0
85,Stephen Anderson,TE,16.45,-99.55,413.0
168,Penny Hart,WR,18.5,-99.55,413.0
169,Juwan Johnson,WR,18.45,-99.6,416.0
135,Andrew Beck,RB,9.4,-99.6,416.0
136,Jakob Johnson,RB,9.4,-99.6,416.0
166,Danny Gray,WR,18.35,-99.69999999999999,418.0
133,Michael Burton,RB,9.25,-99.75,419.0
165,Ihmir Smith-Marsette,WR,18.25,-99.8,420.5
84,Devin Asiasi,TE,16.2,-99.8,420.5
167,Shi Smith,WR,18.05,-100.0,422.0
163,Breshad Perriman,WR,18.0,-100.05,423.0
87,Johnny Mundt,TE,15.8,-100.2,424.5
137,Giovanni Ricci,RB,8.8,-100.2,424.5
90,Tre' McKitty,TE,15.399999999999999,-100.6,426.0
88,Nick Vannett,TE,15.350000000000001,-100.65,427.0
92,Kevin Rader,TE,15.2,-100.8,429.0
138,Julius Chestnut,RB,8.2,-100.8,429.0
170,Jason Moore Jr.,WR,17.25,-100.8,429.0
171,Bo Melton,WR,16.85,-101.19999999999999,431.0
139,Derek Watt,RB,7.8,-101.2,432.0
89,Grant Calcaterra,TE,14.649999999999999,-101.35,433.0
91,Tyree Jackson,TE,14.6,-101.4,434.0
93,Chigoziem Okonkwo,TE,14.4,-101.6,436.0
141,Khari Blasingame,RB,7.4,-101.6,436.0
140,Jason Cabinda,RB,7.3999999999999995,-101.6,436.0
172,Seth Williams,WR,16.2,-101.85,438.0
175,Tim Jones,WR,16.05,-102.0,439.5
176,Tajae Sharpe,WR,16.05,-102.0,439.5
143,Trevon Wesco,RB,6.95,-102.05,441.0
177,Greg Ward,WR,15.899999999999999,-102.15,442.0
145,Reggie Gilliam,RB,6.8,-102.2,443.0
173,Samori Toure,WR,15.8,-102.25,444.0
174,Scotty Miller,WR,15.75,-102.3,445.0
95,MyCole Pruitt,TE,13.6,-102.4,446.0
96,James Mitchell,TE,13.149999999999999,-102.85,447.0
144,Adam Prentice,RB,6.0,-103.0,448.0
142,Salvon Ahmed,RB,5.9,-103.1,449.0
147,Tory Carter,RB,5.85,-103.15,450.0
94,Juwan Johnson,TE,12.65,-103.35,451.0
97,Armani Rogers,TE,12.6,-103.4,452.0
146,Brittain Brown,RB,5.45,-103.55,453.5
99,Jack Stoll,TE,12.45,-103.55,453.5
179,Mike Strachan,WR,14.45,-103.6,455.0
183,Trent Taylor,WR,14.149999999999999,-103.9,456.0
180,Dezmon Patmon,WR,14.0,-104.05,457.5
181,Mason Kinsey,WR,14.0,-104.05,457.5
185,Tre Nixon,WR,13.799999999999999,-104.25,459.5
