	Joe Mixon	Tyreek Hill	Jalen Hurts	Dalton Schultz	Josh Jacobs	Marquise Brown	Chase Claypool	Marvin Jones	Mark Ingram	Rex Burkhead	Gerald Everett	Nico Collins
134	9.4	15.4	28.18	14.1	9.4	0.1	14.8	30.0	0.2	0.9	3.6	3.5
135	7.3	7.8	16.66		20.5	26.7	4.3	6.2	2.6		-3.3	2.5
136	11.1	16.8	0.72		6.3	5.5	17.3	4.3	4.1		0.3	4.4
137	12.9	0.2	30.78	7.4	3.6	5.3	4.1	8.3	14.5		0.3	2.5
138	25.5	32.2	30.78		17.4	4.1	1.9	15.6	20.5	18.6	0.7	
139	25.5	26.1	27.64	1.4	13.4	0.8	9.6	4.6	2.4	0.6	8.0	3.2
140	12.7	16.8	11.22		12.7	4.3	9.6	16.0	22.6	0.6	3.7	3.2
141	24.3	16.2	0.2	12.7	10.4	8.5	5.4	14.8	6.2	0.5	1.5	1.4
142	15.4	20.5	16.66		16.0	11.6	13.0	13.7	6.4	13.7	0.2	2.5
143	6.8	11.4		5.4	5.0	17.3	13.0	33.3	7.1	7.9	2.8	2.8
144	11.9	15.4	30.78	7.4	3.1	13.8	1.9	8.0	0.2	26.9	4.6	6.9
145	21.1	3.3	9.26	1.1	7.3	15.1	7.0	3.5			2.7	6.9
146	7.8	23.6	18.58	14.1	9.4	0.8	1.5	2.1	16.8	6.6	-0.4	3.5
147	8.6	15.4	28.18	1.1	12.7	13.4	6.7	5.4	13.7	7.9	2.0	0.9
148	23.0	36.6	9.26		10.4	4.1	3.8	0.9	6.2	12.9	2.3	2.8
149	6.0	7.6	12.96	7.9	9.4	4.4	17.3	8.0	6.2	12.9	0.3	4.4
150	9.5	13.6	9.26		17.4	4.1	1.7	17.6	2.0		2.3	6.9
151	25.5	20.5	16.28	4.5	2.4	17.3		2.5	1.8	3.2	12.8	0.7
152	9.4	11.4	0.2	2.1	13.4	14.5	11.9	15.9	9.4	6.6	0.7	9.3
153	21.0	7.6	20.54		9.5	5.1	7.0	11.5	3.0	1.4	2.0	4.4
154	21.0	44.9	0.24	13.2	10.5	11.0	4.3	7.0	9.4		8.8	
155	8.6	4.7	0.2	2.1	3.6	3.7	5.4	6.2	5.7	5.4	6.7	6.9
156	6.4	6.5	6.86		15.0	17.3	1.7	4.6	2.9	6.6	11.0	
157	9.4	13.6	12.96	14.1	20.5	3.5	5.4	16.0	14.5	26.9	-3.3	0.7
158	6.8	16.8	23.54	3.5	7.4	24.5	1.9	7.4		5.4	1.3	9.3
159	25.5	16.0	28.18	1.4	14.2	16.1	13.0	8.3	4.0	0.5	0.7	0.7
160	20.9	12.4	11.22	7.9	8.1	2.7	4.1	0.8	4.0	26.9	3.4	2.8
161	24.6	32.2	22.92	2.1	14.2	6.3	4.1	4.6	4.1	4.0	2.7	6.7
162	21.3	6.1	0.36	12.7	31.9	9.8	4.1	17.2	4.0		3.9	2.5
163	28.3	0.2	18.62	4.3	20.4	11.6	5.2	30.0	5.3	5.9	4.4	0.9
164	7.1	36.6	25.0		14.2	16.1	4.3	6.2	9.3	4.9	12.8	1.4
165	5.1		18.62	4.5	25.6		16.1	11.5	7.1	26.9	6.3	3.2
166	21.3	1.9	23.54		12.7	4.1	4.1	1.4	9.3	0.5	8.0	
167	11.2	13.6	16.68	0.7	6.1	26.7	11.9	3.5	2.0	1.3	5.4	4.4
168	3.9	20.5	23.54		9.5	5.1	9.4	5.1	2.4	0.5	1.5	2.8
169	9.4	20.8	19.28	11.8	20.9	4.3	9.5	30.0	23.8			3.2
170	28.3	7.6	21.8	4.5	16.1	1.5	16.1	13.7	8.1	5.0	2.8	3.2
171	6.8	4.7	2.6	1.4	16.0	13.4	14.8	5.2	2.0	13.7	4.6	3.5
172	21.1	0.2	0.36	0.4	10.4	5.1	5.2	1.4	6.4	5.4	2.7	3.2
173	2.7	16.2	25.0	3.4	14.0	2.7	7.3	14.8	5.7		3.6	3.2
174	25.5	7.8	18.58	1.1	20.5	1.3	1.7	2.1	7.7		8.0	0.7
175	23.0	23.1		5.3	5.7	4.4	16.1	11.5	2.7	3.1		3.2
176	12.7	15.3	18.62	5.4	20.4	14.0	4.3	6.0		0.5	3.7	6.7
177	25.5	2.2	6.86		5.7	5.5		7.7	2.6	6.6	-3.3	3.2
178	28.3	36.6	23.54	2.1	26.3	3.5	9.6	10.0	1.8	26.9	2.3	
179	11.9	7.2		5.4	12.7	3.7	3.8	3.5	10.9	7.9	2.0	9.3
180	21.1	4.2		2.4	9.5	10.5	4.3	2.2	2.4	4.7	3.6	5.5
181	5.1	15.4	20.54	7.4	9.4	0.1	4.1	16.0	4.0	4.0	2.3	9.3
182	24.6	44.9	16.68	14.1	6.3	0.6	1.9	4.3	16.8	4.9	2.9	2.8
183	7.1	12.4	16.68	7.9	4.4	5.7	4.8	4.3		8.5	8.8	9.3
184	12.7	6.7	16.68		12.4	24.5	1.7	15.9		0.5	12.8	0.9
185	25.8	11.0	1.8		10.8	5.3	1.9	1.7	31.5	12.7		0.7
186	21.0	18.8	16.66	14.2	10.5	3.7	9.6	4.6	2.9	6.6	6.3	0.7
187	23.0	1.9	0.24	4.4	13.4	5.1	8.2	14.8	4.0	10.8	5.4	
188	21.0	1.9	20.54	11.8	17.2	9.9	14.8	5.2	5.7	4.7	1.6	4.4
189	6.8	13.6	18.58	13.2	9.4	4.1	9.4	4.8	25.0	4.5	1.5	2.5
190	9.4	44.9	0.36	12.8	5.0	10.5	9.4	5.5	8.1	1.7	1.6	2.8
191	15.5	7.6	27.64	0.6	6.3	17.3	11.9	8.3	9.7	5.9	4.0	5.5
192	8.6	5.6	20.54	0.6	12.4	4.2	19.0	2.1	4.3	5.4	2.7	2.8
193	9.4	3.3	9.26	12.6	10.4	0.8	9.5	2.2	9.4	6.6	0.9	3.2
194	21.1	13.4	9.26	2.4	17.2	0.1	8.2	17.2	2.0	8.5	9.7	2.8
195	28.3	6.1	18.58		17.2	0.1	17.3	4.3	2.7	26.9	5.4	4.4
196	23.0	7.6		5.4	13.4	2.7	5.4	5.2	14.5	0.5	2.3	0.9
197	9.4	13.4	16.66	5.3	12.8	24.5	6.7	8.3	27.1		0.3	2.8
198	13.7	8.8	30.78	1.4	6.9	5.3	35.6	7.0	2.0	4.9	3.6	2.5
199	1.7	4.7	0.24	14.2	5.0	5.7	7.0	7.0	9.3	18.6	3.7	1.4
200	23.0	23.1	6.86	1.8	8.1	15.1	13.0	3.5	2.6		1.6	1.4
201	1.7	26.1	28.18	4.3	20.4	5.3	13.0	4.6	13.7	22.3	0.2	3.5
202	5.1	30.5	0.2	14.1	6.3	11.0	4.8	14.8	9.3	6.6	2.8	
203	23.0	3.3	23.54		3.6	4.1	13.0	8.3	4.1	4.5	2.7	5.5
204	16.3	3.3	16.28	5.3	10.8	16.2	9.5	14.8	13.4		6.3	4.4
205	13.0	15.0	20.54	1.1	20.4	24.5	17.3	7.4	2.7		8.8	3.5
206	9.4	11.4	20.54	4.5	7.4	4.4	4.7	7.0	4.0	4.7	2.3	0.7
207	6.4	8.8	28.76	1.4	16.0	13.8	6.7	5.1	1.8	6.6	4.0	9.3
208	5.1	16.2	27.64	5.3	12.4	11.6	17.3	5.1	3.0	7.9		2.8
209	5.1	2.5	28.76	5.4	15.0	10.1	8.2	2.1	2.9	6.6	0.2	4.4
210	6.8	20.5	18.58	12.8	15.0	8.5	35.6	5.4	2.7	4.5	3.4	2.8
211	28.3	2.2	6.86	12.7	25.6	13.4	5.4	7.0	3.0			3.5
212	10.9	0.2	27.64	14.1	2.4	11.6	17.3	4.8	10.9	1.5	9.7	2.8
213	21.3	36.6	21.8	7.9	5.0	8.5	4.3	1.9	9.3	27.8		9.3
214	21.3	15.4	18.62	4.4	15.0	3.8	14.8	3.5	5.7	27.8	3.7	2.8
215	6.3	0.2	28.18	0.4	15.0	9.9	5.2	17.6	4.1	4.7	6.0	0.9
216	5.1	36.6	22.92	1.1	14.0	16.2	19.0	5.6	16.8	0.5	0.3	6.9
217	15.1	2.9	1.8	7.0	15.0	1.5	16.1	5.1	2.7	5.0	2.1	5.5
218	23.0	0.2			12.7	0.8	1.9	5.5	2.9	6.6	3.7	9.3
219	8.6	8.1	28.76		12.7	5.1	5.4	11.5	16.8	0.9	5.4	2.5
220	24.3	5.4	28.18	4.5	14.0	24.5	1.7	1.4	1.8	6.8	3.2	0.7
221	8.9	5.6	2.6	1.8	9.4	15.1	1.7	10.3	15.1	4.0	0.8	9.3
222	12.9	0.2	20.54		26.3	5.1	4.1	13.7	23.8	10.8	8.8	3.5
223	21.3	7.8	9.26		17.2	4.4	6.1	8.3	4.0	2.2	-3.3	3.5
224	21.3	15.4	11.22		9.5	15.1	9.5	6.2	2.9	6.9	0.7	9.3
225	9.5	11.0	16.68	7.9	24.0	0.6	4.7	5.1	23.8	8.5	3.6	2.8
226	21.3	20.8	27.64	1.1	5.7	17.3	1.9	1.9	22.6	18.6	6.0	6.9
227	36.1	7.8	18.58	1.8	13.4	3.7	9.6	3.5	12.4	0.9	9.7	3.2
228	23.0	2.5	2.6	0.6	10.4	10.5	4.1	16.1	10.3	4.2	2.5	6.9
229	9.4	2.9	21.8		14.0	17.3	1.7	7.0	2.0	26.9	12.8	0.9
230	36.1	2.9	27.64	20.0	12.7	4.3	4.1	12.8	10.3		0.9	2.8
231	36.1	1.9	21.8	4.8	12.8	4.1		2.4	2.6	1.7	5.4	4.4
232	6.0	15.4	0.6	12.6	13.4	24.5	4.3	1.1	2.4	4.5	2.3	9.3
233	11.9	11.0	30.78	3.5	9.5	14.0	17.3	1.7	2.0	5.9	2.0	0.9
234	1.7	8.7	0.24		10.4	15.1	7.3	7.7	1.7		6.0	5.5
235	21.0	11.5		4.8	3.6	9.8	19.0	2.5	14.5	3.1		5.5
236	2.7	4.7	9.26	5.4	10.9	4.4	19.0	6.2	2.6	7.9	2.3	2.8
237	9.4	15.4	12.96		15.0	8.6	35.6	3.5	5.7	4.1	8.0	0.7
238	25.5	2.5	30.78	4.5	7.3	11.0	8.2	5.4	14.5	0.5	6.3	2.5
239	21.0	5.6	16.68	0.4	16.0	14.0	9.5	5.5	12.6	0.5	4.4	0.7
240	8.6	20.8	27.64	1.1	15.0	16.1	9.6	1.4	1.8	12.7	2.0	9.3
241	21.1	2.9	23.54		9.4		5.4	15.9	1.7	0.9	3.7	2.8
242	9.4	7.6	11.22	7.9	24.0	15.1	2.4	2.5	14.5	0.6	0.3	2.8
243	10.7			14.1	14.0	14.5	5.4	5.2	11.9		-3.3	3.2
244	15.4	8.8	16.68	7.9	20.5	3.7	4.3	30.0	16.8	0.9	3.6	5.5
245	21.0	12.4	28.18		12.8	0.8	5.2	1.4	2.9	6.6	3.6	2.8
246	15.6	7.6	21.8	4.5	6.1	8.5	7.0	8.5	7.4		2.2	2.5
247	9.5	13.6		1.2	2.4	26.7	35.6	17.2	22.7	4.3	2.3	
248	6.0	10.6	28.76	4.4	6.1	24.5	2.4	17.6	14.5	7.9	1.5	0.9
249	21.0	11.4	20.54	20.0	10.5	5.3	2.4	14.8	13.7		3.6	
250	9.5	20.5	30.78	1.4	6.1	4.4	4.3	8.7	5.3	9.2	0.7	0.9
251	15.5	15.4	28.18	2.3	5.7	3.7	1.7	3.5	2.0	6.6	2.3	2.8
252	8.6	2.2	0.36		9.4	16.2	6.7	11.5	2.4	4.7	-3.3	2.5
253	21.3	16.2	21.8	4.5	3.6	5.5	14.8	11.4	4.1	6.6	4.0	6.9
254	5.1	6.7	18.62	4.8	9.5	16.1	13.0	5.1	1.7	7.9	1.5	2.8
255	24.6	6.5	16.28		3.6	15.1	9.4	3.5	6.4	7.9	8.0	1.4
256	5.1	7.6	0.6	14.1	14.0	2.7	9.6	7.0	18.2	4.5	3.7	3.5
257	23.0	4.2	20.54	5.3	6.3	8.5	5.4	16.0	1.7	4.7	5.2	6.7
258	23.0	16.8		7.0	17.2	9.8	3.8	6.2	16.8	10.8	0.3	9.3
259	6.0	26.1	2.6		2.4	5.5	3.8	1.1	27.1	10.8	2.3	2.8
260	29.6	13.6	25.0	7.9	12.7	14.5	9.4	8.5	2.7	3.4	2.8	3.5
261	9.4	1.9	0.24	1.2	9.5	3.5	1.9	6.2	16.8	0.6	8.8	0.7
262	12.7	2.2	0.24	4.4	3.6	8.6	19.0	5.2	13.4	0.5	6.3	2.5
263	16.3	18.8	6.86	4.3	16.1	4.8	19.0	7.4	3.0	12.9	16.9	5.5
264	7.1	13.4	27.64	0.4	26.3	14.0	5.4	6.8	2.4	12.7	-3.3	
265	24.3	26.1	2.6	4.8	10.5	0.1	9.6	2.4	3.0	1.2	2.4	2.8
266	21.1	12.4	21.8	4.5	6.3	4.4	9.4	7.4	8.1	1.2	6.3	6.9
267	9.5	6.7	30.78	7.9	14.0	8.6	19.0	5.1	3.0	12.9	8.0	2.5
268	28.3	4.2	0.6	3.4	24.0	5.7	9.4	1.4	1.8	4.0	9.0	2.5
269	8.6	20.5	0.2	2.2	20.5	4.8	8.2	2.1	6.4		6.0	5.5
270	16.3	11.4	16.66	1.1	7.3	5.5	14.8	5.5	2.0	4.7	1.6	6.7
271	3.9	15.3	0.36	2.4	10.5	11.0	1.7	4.6	7.9	13.7	2.7	3.5
272	9.5	36.6	11.22	20.0	25.6	9.8	1.7	4.6	6.4	4.9	2.3	
273	12.7		28.18		24.0	3.8	11.9	10.0	22.6	10.8	6.8	4.4
274	24.6	26.1	27.64	4.5	9.4	17.3	6.1	18.6	2.6		12.8	3.2
275	8.6	4.2	30.78	5.4	6.3	4.2	4.3	16.1	5.3	3.1	0.9	2.8
276	6.0	15.4	28.18	12.7	20.4	1.4	5.4	8.3	1.8	12.7	2.5	2.5
277	24.3	20.8	0.6	2.2	3.6	14.0	4.8	3.5	20.5	7.9		6.9
278	21.3	16.2	12.96		7.3	6.3	13.0	2.1	9.7	26.9	0.3	0.9
279	7.8	16.2	9.26	5.3	14.2	4.9	5.4	3.5	2.6	1.4	-3.3	6.7
280	8.6	1.8	0.5	14.1	20.5	17.3	1.9	4.3	19.3	0.5	0.7	2.8
281	11.9	36.6	20.54	12.7	6.9	9.8	5.2	13.7	9.3	2.6	2.3	3.2
282	9.4	20.5	1.8	7.9	12.7	2.2	5.4	5.5	4.1	1.4	5.4	2.5
283	25.5	4.7	12.96	1.8	15.0	24.5	19.0	1.4	2.9	0.6	0.9	5.5
284	28.3	7.2	20.54		10.8	15.1	6.1	4.3	20.5	5.0	5.2	2.8
285	6.0	10.6	11.22		9.4	2.7		2.1	14.5	27.8	8.0	5.5
286	21.1	4.7	16.68	20.0	10.4	15.1	5.4	2.1	16.8	4.1	-3.3	6.9
